sub_id_6,sub_id_5,sub_id_3,sub_id_2,campaign,campaign_id,datetime,cost,revenue,profit,clicks,campaign_unique_clicks,conversions,roi_confirmed,lp_clicks,cr,lp_ctr,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,priority
23-07-2025 - DE - Makita - Man - Creative 1,Adset #2,120227403362470519,120227403387550519,Facebook.com - Sweeps - SOI - Makita - DE - UA83 - BM1 - Acc 1,426,1753537634000,0.0,0.0,0.0,1,0,0,0.0,1,0,100.0,0.0,0.0,0.0,-1,PAUSE,Outlier with poor performance - pause campaign,1
25-07-2025 - DE - Gillette - Creative 5,MV25-64 - Adset 4,120228987231070368,120228987232180368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753537610000,0.0,0.0,0.0,1,0,0,0.0,1,0,100.0,0.0,0.0,0.0,-1,PAUSE,Outlier with poor performance - pause campaign,1
25-07-2025 - DE - Xiaomi - Man - Creative 3,MV25-64 - Adset 3,120232531603680679,120232531603480679,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA82 - BM1 - Acc 5,455,1753537272000,0.0,0.0,0.0,1,0,0,0.0,1,0,100.0,0.0,0.0,0.0,-1,PAUSE,Outlier with poor performance - pause campaign,1
23-07-2025 - UK - Lenor - Woman - Creative 5,Adset #3,120231940484510400,120231940516870400,Facebook.com - Sweeps - SOI - Lenor - UK - UA25 - BM1 - Acc 3,457,1753537133000,0.0,1.87,1.87,1,1,1,0.0,1,100,100.0,1870000.0000000002,0.9999990000010001,1870000.0000000002,-1,PAUSE,Outlier with poor performance - pause campaign,1
23-07-2025 - DE - Rituals - Woman - Creative 4,Adset #3,120230627283350045,120230627398300045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753537131000,0.0,4.3,4.3,1,1,1,0.0,1,100,100.0,4300000.0,0.9999990000010001,4300000.0,-1,PAUSE,Outlier with poor performance - pause campaign,1
23-07-2025 - DE - Xiaomi - Creative 5,Adset #2,120229975531080210,120229975582590210,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA83 - BM1 - Acc 2,430,1753537068000,0.0,4.3,4.3,1,1,1,0.0,1,100,100.0,4300000.0,0.9999990000010001,4300000.0,-1,PAUSE,Outlier with poor performance - pause campaign,1
24-07-2025 - DE - Gillette - Man - Creative 1,Adset #5,120228794082060368,120228794152630368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753534926000,1.4367,0.0,-1.44,1,1,0,-100.0,0,0,0.0,0.0,0.0,-1.0022962328278466,-1,PAUSE,Outlier with poor performance - pause campaign,1
23-07-2025 - DE - Xiaomi - Creative 1,Adset #1,120229974433090210,120229974434260210,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA83 - BM1 - Acc 2,430,1753532106000,1.7,0.0,-1.7,1,1,0,-100.0,1,0,100.0,0.0,0.0,-0.9999994117650519,-1,PAUSE,Outlier with poor performance - pause campaign,1
25-07-2025 - DE - Rituals - Creative 2,25-64 - Adset 5,120230831546810045,120230831546010045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753529828000,2.0,0.0,-2.0,1,1,0,-100.0,0,0,0.0,0.0,0.0,-0.99999950000025,-1,PAUSE,Outlier with poor performance - pause campaign,1
25-07-2025 - DE - Rituals - Creative 2,25-64 - Adset 4,120230831546810045,120230831545980045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753529501000,1.6533,0.0,-1.65,1,1,0,-100.0,1,0,100.0,0.0,0.0,-0.9980033883727162,-1,PAUSE,Outlier with poor performance - pause campaign,1
25-07-2025 - DE - Rituals - Creative 5,25-64 - Adset 4,120230831545890045,120230831546120045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753529201000,5.09,0.0,-5.09,1,1,0,-100.0,0,0,0.0,0.0,0.0,-0.9999998035363844,-1,PAUSE,Outlier with poor performance - pause campaign,1
25-07-2025 - DE - Gillette - Creative 4,MV25-64 - Adset 5,120228987231050368,120228987231480368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753528775000,0.8,0.0,-0.8,1,0,0,-100.0,0,0,0.0,0.0,0.0,-0.9999987500015625,-1,PAUSE,Outlier with poor performance - pause campaign,1
25-07-2025 - DE - Barilla - Creative 1,MV25-64 - Adset 3,120230190686660235,120230191601340235,Facebook.com - Sweeps - SOI - Barilla - DE - UA49 - BM1 - Acc 3,443,1753527014000,0.94,0.0,-0.94,1,0,0,-100.0,1,0,100.0,0.0,0.0,-0.9999989361713445,-1,PAUSE,Outlier with poor performance - pause campaign,1
23-07-2025 - DE - Makita - Photo - Creative 3,Adset #5,120227446586830519,120227446625420519,Facebook.com - Sweeps - SOI - Makita - DE - UA83 - BM1 - Acc 1,426,1753524070000,1.08,0.0,-1.08,1,0,0,-100.0,0,0,0.0,0.0,0.0,-0.9999990740749315,-1,PAUSE,Outlier with poor performance - pause campaign,1
23-07-2025 - DE - Rituals - Woman - Creative 3,Adset #4,120230627196100045,120230627248460045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753523233000,1.0117,0.0,-1.01,1,0,0,-100.0,0,0,0.0,0.0,0.0,-0.9983186732048304,-1,PAUSE,Outlier with poor performance - pause campaign,1
23-07-2025 - DE - Xiaomi - Creative 2,Adset #2,120229974586200210,120229974707850210,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA83 - BM1 - Acc 2,430,1753521237000,0.996,0.0,-1.0,1,0,0,-100.0,0,0,0.0,0.0,0.0,-1.004015056209783,-1,PAUSE,Outlier with poor performance - pause campaign,1
